ID,name,reel_link
51,Paakashala,https://www.instagram.com/reel/C06sYQGP5J9/?igsh=MWhoNDJwYXFoZnc5aQ%3D%3D
52,"Sri Sai Baba Sandwich
",https://www.instagram.com/reel/C3KwtwIPgLZ/?igsh=cnFmaHB6cDE1N3hk
53,Kake dihatti,https://www.instagram.com/reel/CoeZuYkvJq1/?igsh=cWs3bXE3YXczYXpt
54,Cool Corner,https://www.instagram.com/emotional_eaters_kar/reel/C0jYOlZrAk4/
55,"Basaveshwar Khanavali
",https://www.instagram.com/reel/Cz5HzWBo6pa/?igsh=MWp2MmFvN3cwMW50Mg%3D%3D
56,Thyme & Whisk,https://www.instagram.com/reel/CeLipJIK032/?igsh=N2o4OGs0NTNkZmJ5
57,Hunger Camp,https://www.instagram.com/reel/Cy4oDSTqmNG/?igsh=bndraml6b21sM2Nu
58,Gulp,https://www.instagram.com/reel/CvMs0GnqwTS/?igsh=MTNnM29hdHQxMHVtMA%3D%3D
59,TFG Cafe,https://www.instagram.com/reel/CssM0S9tlF5/?igsh=cmI0NnNsdnhsaDhw
60,Pankaj Delicasies,https://www.instagram.com/reel/C03-oZ6vlvd/?igsh=anl2c2dnNjN0MGwz
61,Ravi Gobi,https://www.instagram.com/reel/Cy_mH4ZyOXT/?igsh=MTRoOWgxNjFzaTltZA%3D%3D
62,Aditya Foods,https://www.instagram.com/reel/C0OucPuPVf2/?igsh=a2ZybWZ0aHljaHpm
63,"Bidadi  Thatte Idly
",https://www.instagram.com/reel/CueQ9ODJJlX/?igsh=MXAyZHdla3hzOWNuaA%3D%3D
64,SLN Muddanna Palav,https://www.instagram.com/reel/C2MZDDMSQ3d/?igsh=bDBoNjFyd3J2MGR5
65,Bhagyalakshmi Butter and Gulkand Store,https://www.instagram.com/reel/C0CId6lv6Vy/?igsh=MWlnZ20zOG11dXRqdQ%3D%3D
66,Snack O Pedia,https://www.instagram.com/reel/C2yjrVKP0ki/?igsh=bWFsNnM5ejJjZjhl
67,DYCE,https://www.instagram.com/reel/CmJMJoXqb7_/?igsh=Z2FmaG1iOXpnajVl
68,"Nammura Oota
",https://www.instagram.com/reel/C14JGCbNAIN/?igsh=ZG8zZ2NmZW1wNmFv
